,id,type,sectionId,sectionName,webPublicationDate,webTitle,webUrl,apiUrl,isHosted,pillarId,pillarName
103,us-news/2020/oct/05/first-thing-election-special-trumps-insane-coronavirus-drive-by,article,us-news,US news,2020-10-05T10:16:25Z,First Thing election special: Trump's 'insane' coronavirus drive-by,https://www.theguardian.com/us-news/2020/oct/05/first-thing-election-special-trumps-insane-coronavirus-drive-by,https://content.guardianapis.com/us-news/2020/oct/05/first-thing-election-special-trumps-insane-coronavirus-drive-by,False,pillar/news,News
104,world/2020/aug/15/new-zealand-coronavirus-seven-new-cases-confirmed,article,world,World news,2020-08-15T03:17:54Z,New Zealand coronavirus: seven new cases confirmed,https://www.theguardian.com/world/2020/aug/15/new-zealand-coronavirus-seven-new-cases-confirmed,https://content.guardianapis.com/world/2020/aug/15/new-zealand-coronavirus-seven-new-cases-confirmed,False,pillar/news,News
105,world/2020/oct/28/top-medical-advisers-arguing-hard-for-tighter-coronavirus-restrictions,article,world,World news,2020-10-28T19:18:25Z,Top medical advisers arguing for tighter coronavirus restrictions in England,https://www.theguardian.com/world/2020/oct/28/top-medical-advisers-arguing-hard-for-tighter-coronavirus-restrictions,https://content.guardianapis.com/world/2020/oct/28/top-medical-advisers-arguing-hard-for-tighter-coronavirus-restrictions,False,pillar/news,News
106,world/2020/nov/01/mexico-day-of-the-dead-coronavirus,article,world,World news,2020-11-01T12:00:19Z,Mexicans celebrate restricted Day of the Dead amid coronavirus upheaval,https://www.theguardian.com/world/2020/nov/01/mexico-day-of-the-dead-coronavirus,https://content.guardianapis.com/world/2020/nov/01/mexico-day-of-the-dead-coronavirus,False,pillar/news,News
107,australia-news/2020/sep/11/coronavirus-australia-latest-the-week-at-a-glance,article,australia-news,Australia news,2020-09-11T10:03:17Z,Coronavirus Australia latest: the week at a glance,https://www.theguardian.com/australia-news/2020/sep/11/coronavirus-australia-latest-the-week-at-a-glance,https://content.guardianapis.com/australia-news/2020/sep/11/coronavirus-australia-latest-the-week-at-a-glance,False,pillar/news,News
108,world/2020/oct/31/us-world-record-coronavirus-cases-24-hours,article,world,World news,2020-10-31T21:17:35Z,US sets world record for coronavirus cases in 24 hours,https://www.theguardian.com/world/2020/oct/31/us-world-record-coronavirus-cases-24-hours,https://content.guardianapis.com/world/2020/oct/31/us-world-record-coronavirus-cases-24-hours,False,pillar/news,News
109,world/2020/oct/06/drive-in-wedding-essex-coronavirus-guest-limit,article,world,World news,2020-10-06T17:07:55Z,Drive-in wedding in Essex bypasses coronavirus guest limit,https://www.theguardian.com/world/2020/oct/06/drive-in-wedding-essex-coronavirus-guest-limit,https://content.guardianapis.com/world/2020/oct/06/drive-in-wedding-essex-coronavirus-guest-limit,False,pillar/news,News
110,world/2020/oct/25/tier-3-lockdown-rules-england-latest-coronavirus-restrictions-explained,article,world,World news,2020-10-27T16:44:01Z,Tier 3 lockdown rules in England: latest coronavirus restrictions explained,https://www.theguardian.com/world/2020/oct/25/tier-3-lockdown-rules-england-latest-coronavirus-restrictions-explained,https://content.guardianapis.com/world/2020/oct/25/tier-3-lockdown-rules-england-latest-coronavirus-restrictions-explained,False,pillar/news,News
111,world/2020/nov/01/how-will-the-new-coronavirus-lockdown-in-england-affect-you,article,world,World news,2020-11-01T12:45:04Z,How will the new coronavirus lockdown in England affect you?,https://www.theguardian.com/world/2020/nov/01/how-will-the-new-coronavirus-lockdown-in-england-affect-you,https://content.guardianapis.com/world/2020/nov/01/how-will-the-new-coronavirus-lockdown-in-england-affect-you,False,pillar/news,News
112,music/2020/jun/10/saving-classical-music-from-coronavirus,article,music,Music,2020-06-10T17:38:03Z,Saving classical music from coronavirus | Letters,https://www.theguardian.com/music/2020/jun/10/saving-classical-music-from-coronavirus,https://content.guardianapis.com/music/2020/jun/10/saving-classical-music-from-coronavirus,False,pillar/arts,Arts
113,us-news/2020/nov/19/coronavirus-taskforce-briefing-fauci-vaccine-us,article,us-news,US news,2020-11-20T02:04:09Z,Coronavirus taskforce briefing: Fauci urges vigilance as vaccine is in sight,https://www.theguardian.com/us-news/2020/nov/19/coronavirus-taskforce-briefing-fauci-vaccine-us,https://content.guardianapis.com/us-news/2020/nov/19/coronavirus-taskforce-briefing-fauci-vaccine-us,False,pillar/news,News
114,society/2020/oct/06/coronavirus-restrictions-have-robbed-disabled-people-of-their-independence,article,society,Society,2020-10-06T10:00:23Z,Coronavirus restrictions have robbed disabled people of their independence | Saba Salman,https://www.theguardian.com/society/2020/oct/06/coronavirus-restrictions-have-robbed-disabled-people-of-their-independence,https://content.guardianapis.com/society/2020/oct/06/coronavirus-restrictions-have-robbed-disabled-people-of-their-independence,False,pillar/news,News
115,us-news/2020/oct/30/us-daily-coronavirus-record-cases-deaths,article,us-news,US news,2020-10-31T03:05:26Z,"US shatters daily coronavirus record with nearly 90,000 new infections",https://www.theguardian.com/us-news/2020/oct/30/us-daily-coronavirus-record-cases-deaths,https://content.guardianapis.com/us-news/2020/oct/30/us-daily-coronavirus-record-cases-deaths,False,pillar/news,News
116,society/2020/aug/06/how-has-coronavirus-impacted-your-mental-health,article,society,Society,2020-08-06T16:54:17Z,How has coronavirus impacted your mental health?,https://www.theguardian.com/society/2020/aug/06/how-has-coronavirus-impacted-your-mental-health,https://content.guardianapis.com/society/2020/aug/06/how-has-coronavirus-impacted-your-mental-health,False,pillar/news,News
117,world/ng-interactive/2020/sep/29/one-million-coronavirus-deaths-how-did-we-get-here-covid,interactive,world,World news,2020-09-29T00:56:01Z,One million coronavirus deaths: how did we get here?,https://www.theguardian.com/world/ng-interactive/2020/sep/29/one-million-coronavirus-deaths-how-did-we-get-here-covid,https://content.guardianapis.com/world/ng-interactive/2020/sep/29/one-million-coronavirus-deaths-how-did-we-get-here-covid,False,pillar/news,News
118,world/2020/nov/15/bars-and-borders-stay-closed-as-europe-battles-second-wave-of-coronavirus,article,world,World news,2020-11-15T11:00:32Z,Bars and shops closed as Europe battles second wave of coronavirus,https://www.theguardian.com/world/2020/nov/15/bars-and-borders-stay-closed-as-europe-battles-second-wave-of-coronavirus,https://content.guardianapis.com/world/2020/nov/15/bars-and-borders-stay-closed-as-europe-battles-second-wave-of-coronavirus,False,pillar/news,News
119,commentisfree/2020/oct/02/donald-trump-coronavirus-infection-october-surprise,article,commentisfree,Opinion,2020-10-03T06:17:15Z,Donald Trump's coronavirus infection is the ultimate 'October surprise' | Andrew Gawthorpe,https://www.theguardian.com/commentisfree/2020/oct/02/donald-trump-coronavirus-infection-october-surprise,https://content.guardianapis.com/commentisfree/2020/oct/02/donald-trump-coronavirus-infection-october-surprise,False,pillar/opinion,Opinion
120,australia-news/2020/nov/23/australia-covid-19-lockdown-rules-coronavirus-restrictions-by-state-nsw-victoria-vic-queensland-qld-western-south-australia-wa-sa-nt-act-travel-border-social-distancing-masks,article,australia-news,Australia news,2020-11-23T04:29:07Z,Australia’s state by state Covid restrictions and coronavirus lockdown rules explained,https://www.theguardian.com/australia-news/2020/nov/23/australia-covid-19-lockdown-rules-coronavirus-restrictions-by-state-nsw-victoria-vic-queensland-qld-western-south-australia-wa-sa-nt-act-travel-border-social-distancing-masks,https://content.guardianapis.com/australia-news/2020/nov/23/australia-covid-19-lockdown-rules-coronavirus-restrictions-by-state-nsw-victoria-vic-queensland-qld-western-south-australia-wa-sa-nt-act-travel-border-social-distancing-masks,False,pillar/news,News
121,australia-news/2020/nov/18/adelaide-lockdown-south-australia-covid-19-restrictions-rules-coronavirus-explained-what-you-need-to-know,article,australia-news,Australia news,2020-11-20T05:38:33Z,South Australia and Adelaide Covid lockdown rules and coronavirus restrictions explained,https://www.theguardian.com/australia-news/2020/nov/18/adelaide-lockdown-south-australia-covid-19-restrictions-rules-coronavirus-explained-what-you-need-to-know,https://content.guardianapis.com/australia-news/2020/nov/18/adelaide-lockdown-south-australia-covid-19-restrictions-rules-coronavirus-explained-what-you-need-to-know,False,pillar/news,News
122,world/2020/jun/05/coronavirus-latest-at-a-glance-5-june-2020,article,world,World news,2020-06-05T17:21:02Z,Coronavirus latest: at a glance,https://www.theguardian.com/world/2020/jun/05/coronavirus-latest-at-a-glance-5-june-2020,https://content.guardianapis.com/world/2020/jun/05/coronavirus-latest-at-a-glance-5-june-2020,False,pillar/news,News
123,australia-news/2020/sep/04/coronavirus-australia-latest-the-week-at-a-glance,article,australia-news,Australia news,2020-09-04T11:39:20Z,Coronavirus Australia latest: the week at a glance,https://www.theguardian.com/australia-news/2020/sep/04/coronavirus-australia-latest-the-week-at-a-glance,https://content.guardianapis.com/australia-news/2020/sep/04/coronavirus-australia-latest-the-week-at-a-glance,False,pillar/news,News
124,us-news/2020/oct/01/hope-hicks-covid-19-reports-trump,article,us-news,US news,2020-10-02T09:03:02Z,Trump and first lady Melania test positive for coronavirus,https://www.theguardian.com/us-news/2020/oct/01/hope-hicks-covid-19-reports-trump,https://content.guardianapis.com/us-news/2020/oct/01/hope-hicks-covid-19-reports-trump,False,pillar/news,News
125,world/2020/nov/13/leaders-at-a-loss-as-coronavirus-catches-up-with-central-europe,article,world,World news,2020-11-13T15:46:43Z,Leaders at a loss as coronavirus catches up with central Europe,https://www.theguardian.com/world/2020/nov/13/leaders-at-a-loss-as-coronavirus-catches-up-with-central-europe,https://content.guardianapis.com/world/2020/nov/13/leaders-at-a-loss-as-coronavirus-catches-up-with-central-europe,False,pillar/news,News
